epoch,f1,loss,lr,val_f1,val_loss
0,0.49169463,1.1222698592105091,0.001,0.3891265392303467,1.6567993747176974
1,0.57898307,0.8608806944457736,0.001,0.42833882570266724,1.0811344766052517
2,0.61523896,0.7980507887326754,0.001,0.6102204918861389,0.8314031825733373
3,0.64422363,0.7533213606717789,0.001,0.6593117713928223,0.7219599761671334
4,0.6541019,0.739317909030049,0.001,0.5536921620368958,0.9557832994404629
5,0.66492945,0.7151969864053369,0.001,0.5460502505302429,1.0447318136574484
6,0.6741501,0.6984983452208179,0.001,0.6592392921447754,0.7387777042577017
7,0.6820343,0.6872586745482224,0.001,0.6486124396324158,0.7665725112901872
8,0.69265753,0.6747943388639822,0.001,0.6301365494728088,0.8138963765881706
9,0.6983994,0.6610183826329911,0.001,0.7030301690101624,0.663779275715939
10,0.6986033,0.6526583836393713,0.001,0.6162451505661011,0.8748214728028111
11,0.7061675,0.642914299546379,0.001,0.6638614535331726,0.7656413675295061
12,0.7189163,0.6254862961919585,0.001,0.6890445351600647,0.7042954110299812
13,0.7194075,0.6169711428986498,0.001,0.5824347138404846,0.9737511413572337
14,0.7220559,0.6143872980065129,0.001,0.6675467491149902,0.8503635220038586
15,0.7293387,0.6009155453074378,0.001,0.6343203783035278,0.9996143521876966
16,0.754977,0.5412557118037749,0.0003162278,0.7482559680938721,0.5796360181868664
17,0.76701593,0.5263219141866093,0.0003162278,0.7550682425498962,0.5599283861102907
18,0.7719264,0.515855324574006,0.0003162278,0.748155951499939,0.5695498218903174
19,0.7788101,0.5065580658776285,0.0003162278,0.7228573560714722,0.6572763883385667
20,0.7779157,0.49874466763445613,0.0003162278,0.7682176232337952,0.5434680565809592
21,0.7836535,0.4893904865610999,0.0003162278,0.7554513216018677,0.5679013859590835
22,0.7942179,0.4791958663590561,0.0003162278,0.7202109098434448,0.6730058382483864
23,0.79464823,0.47090497648222207,0.0003162278,0.6842089891433716,0.7433405113525879
24,0.79811805,0.464898344562839,0.0003162278,0.7453605532646179,0.6191043146615903
25,0.8020021,0.45695794639737886,0.0003162278,0.7324957847595215,0.6672932516776128
26,0.806718,0.4500225554321409,0.0003162278,0.7110364437103271,0.7235174812743885
27,0.8183177,0.41903095908418914,0.000100000005,0.7619005441665649,0.5847432264797316
28,0.8244729,0.4099798237783669,0.000100000005,0.7675539255142212,0.5627885919938661
29,0.8217895,0.41144676391895,0.000100000005,0.7735921144485474,0.5556245024740343
30,0.82764584,0.40193774790688613,0.000100000005,0.7654522657394409,0.558967509389629
31,0.83106,0.39868134371862846,0.000100000005,0.7554171681404114,0.5914062999879585
32,0.83615696,0.3867642637893293,0.000100000005,0.7736197113990784,0.5521943800783251
33,0.84361637,0.37262678578407804,3.1622778e-05,0.7710569500923157,0.5529277524534297
34,0.8429551,0.37423937231361043,3.1622778e-05,0.7721452116966248,0.5576193986324633
35,0.8405194,0.3780610969315854,3.1622778e-05,0.7756108641624451,0.5583047620525962
36,0.8429306,0.37098842242060326,3.1622778e-05,0.7805879712104797,0.5603205957826543
37,0.84338695,0.36664697927601003,3.1622778e-05,0.7807224988937378,0.5517441934852675
38,0.84470755,0.3699447204610535,3.1622778e-05,0.7740939259529114,0.5548618829697076
39,0.84719145,0.36274316154523245,1.0000001e-05,0.7758511900901794,0.5576839019678519
40,0.8464408,0.36185701476516574,1.0000001e-05,0.7723163366317749,0.562786224149388
41,0.84694207,0.3641195732813615,1.0000001e-05,0.7743891477584839,0.5597261136923081
42,0.8463454,0.3612605131119196,1.0000001e-05,0.7750101089477539,0.5629082159295354
43,0.8449748,0.36090471929111895,1.0000001e-05,0.772794246673584,0.5600530476377326
44,0.8471416,0.3638891547741975,1.0000001e-05,0.773270308971405,0.5599925934798149
45,0.85177517,0.35085635372167506,3.1622778e-06,0.7743338942527771,0.559245961187389
46,0.8461308,0.3588213378038162,3.1622778e-06,0.7744489312171936,0.558204080872752
47,0.846162,0.3626611176914952,3.1622778e-06,0.7729363441467285,0.5597288476292198
48,0.84741074,0.3638657165114461,3.1622778e-06,0.7746558785438538,0.5576898698976054
49,0.8478111,0.35962955609581176,3.1622778e-06,0.7727465629577637,0.5581680628557412
